Competitor,Link to model,Agree,BB,CCL-MC,CCL-OPEN,CCL-TF,CCM-MC,CCM-OPEN,CNC-KSK,CCDNER,NQ,CNEC,SQAD32,TQA,CFR,CTK,CNC-DIAL,CNC-E,CNC-F,GEC,CNC-KH,HASG,HIST,HIST-IR,KQA,P-ARG,P-DEMON,P-EMOCE,P-FAB,P-LOK,P-LEP,P-NAZOR,P-REL,P-RUS,P-STCH,P-VINA,P-MER,P-ZANR,S-CSFD,S-FB,S-MALL,SNLI,CNC-SPK,SUBJ,UT-BIO,UT-CHEM,UT-CZEL,UT-HIST,UT-IT,UT-MATH,UT-PHYS
microsoft/phi-4,https://huggingface.co/microsoft/phi-4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
BSC-LT/ALIA-40b,https://huggingface.co/BSC-LT/ALIA-40b,False,False,False,False,False,False,False,False,True,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
google/gemma-2-9b-it,https://huggingface.co/google/gemma-2-9b-it,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,True,False,False,True,False,False,False,False,False,False,False
ibm-granite/granite-3.0-8b-instruct,https://huggingface.co/ibm-granite/granite-3.0-8b-instruct,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False
utter-project/EuroLLM-9B,https://huggingface.co/utter-project/EuroLLM-9B,False,False,False,False,False,False,False,False,True,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,True,False,False,True,False,False,True,True,True,False,False,True,False,False,False,False,False,False,False
google/gemma-2-27b-it,https://huggingface.co/google/gemma-2-27b-it,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
BUT-FIT/CSTinyLlama-1.2B,https://huggingface.co/BUT-FIT/CSTinyLlama-1.2B,True,True,False,True,True,False,True,False,True,True,True,True,True,True,True,False,False,False,True,False,False,False,False,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,False
google/gemma-2-9b,https://huggingface.co/google/gemma-2-9b,False,False,False,True,False,False,False,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
CohereForAI/aya-expanse-32b,https://huggingface.co/CohereForAI/aya-expanse-32b,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Qwen/Qwen2.5-32B-Instruct,https://huggingface.co/Qwen/Qwen2.5-32B-Instruct,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
google/gemma-2-2b-it,https://huggingface.co/google/gemma-2-2b-it,False,False,False,True,True,False,False,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False
ibm-granite/granite-3.0-8b-base,https://huggingface.co/ibm-granite/granite-3.0-8b-base,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
mistralai/Mistral-Nemo-Instruct-2407,https://huggingface.co/mistralai/Mistral-Nemo-Instruct-2407,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
meta-llama/Llama-3.1-8B,https://huggingface.co/meta-llama/Meta-Llama-3.1-8B,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False
